Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH-5DEC25-3000-C,56,83,,0.78719,-5.75964,2.50445,0.00073,,0.63949,0.088,358,75.36,0.087,0.0878,0.089,77.23,376
ETH-5DEC25-3000-P,594,1415,,-0.57702,-5.75964,2.50445,0.00073,,-0.36051,0.045,6,75.85,0.0435,0.0439,0.0445,77.1,609
ETH-5DEC25-3050-C,66,47,,0.74587,-5.89264,2.58307,0.00076,,0.60115,0.056,397,74.63,0.0775,0.0784,0.0795,77.06,396
ETH-5DEC25-3050-P,201,321,,-0.64108,-5.89264,2.58307,0.00076,,-0.39885,0.05,17,75.18,0.05,0.0504,0.051,76.4,180
ETH-5DEC25-3100-C,72,95,,0.70221,-5.97096,2.63723,0.00078,,0.56182,0.0575,438,74.35,0.069,0.0697,0.0705,76.14,669
ETH-5DEC25-3100-P,587,1311,,-0.70747,-5.97096,2.63723,0.00078,,-0.43818,0.0615,455,74.38,0.057,0.0577,0.058,75.57,163
ETH-5DEC25-3150-C,370,354,,0.65679,-5.99791,2.66529,0.0008,,0.52198,0.064,1078,73.91,0.061,0.0617,0.062,75.68,3
ETH-5DEC25-3150-P,269,352,,-0.77563,-5.99791,2.66529,0.0008,,-0.47802,0.0775,16,74.01,0.065,0.0656,0.066,75.78,5
ETH-5DEC25-3200-C,22,227,,0.6104,-5.972,2.66668,0.0008,,0.48217,0.0445,1403,73.32,0.0535,0.0544,0.055,75.08,892
ETH-5DEC25-3200-P,103,387,,-0.84476,-5.972,2.66668,0.0008,,-0.51783,0.085,54,73.5,0.0735,0.0742,0.075,75.26,816
ETH-5DEC25-3250-C,59,285,,0.56379,-5.89429,2.64194,0.0008,,0.44289,0.0505,1504,73.17,0.047,0.0478,0.048,74.36,2
ETH-5DEC25-3250-P,53,192,,-0.9141,-5.89429,2.64194,0.0008,,-0.55711,0.0905,113,72.83,0.0825,0.0835,0.084,74.61,5
ETH-5DEC25-3300-C,76,225,,0.518,-5.78367,2.59328,0.00078,,0.40499,0.045,1543,72.89,0.041,0.0419,0.042,74.1,25
ETH-5DEC25-3300-P,70,325,,-0.98263,-5.78367,2.59328,0.00078,,-0.59501,0.0885,41,72.63,0.0925,0.0937,0.094,74.44,5
ETH-5DEC25-3350-C,143,193,,0.47345,-5.62663,2.52305,0.00076,,0.36853,0.032,13,73.14,0.036,0.0367,0.037,74.38,1031
ETH-5DEC25-3350-P,3,110,,-1.04992,-5.62663,2.52305,0.00076,,-0.63147,0.126,18,72.32,0.103,0.1044,0.106,76.05,118
ETH-5DEC25-3400-C,50,259,,0.43048,-5.4272,2.43396,0.00073,,0.33371,0.0335,1224,72.71,0.031,0.032,0.032,74,25
ETH-5DEC25-3400-P,-,68,,-1.11563,-5.4272,2.43396,0.00073,,-0.66629,0.1015,118,56.45,0.1025,0.1156,0.1175,76.45,118
ETH-5DEC25-3450-C,89,258,,0.38944,-5.19293,2.32908,0.0007,,0.30076,0.03,811,72.91,0.027,0.0278,0.028,74.26,1286
ETH-5DEC25-3450-P,-,43,,-1.1794,-5.19293,2.32908,0.0007,,-0.69924,0.106,118,51.72,0.112,0.1273,0.129,76.24,118
ETH-5DEC25-3500-C,19,314,,0.35063,-4.93153,2.21167,0.00067,,0.26983,0.0245,23,73.18,0.0235,0.0241,0.024,73.89,25
ETH-5DEC25-3500-P,-,37,,-1.24095,-4.93153,2.21167,0.00067,,-0.73017,0.122,18,44.15,0.1215,0.1396,0.153,92.23,18
ETH-5DEC25-3550-C,70,262,,0.31425,-4.65029,2.08498,0.00063,,0.24104,0.021,1271,72.83,0.02,0.0208,0.021,74.34,627
ETH-5DEC25-3550-P,-,64,,-1.30007,-4.65029,2.08498,0.00063,,-0.75896,0.145,151,-,0.101,0.1522,0.2215,162.63,151
ETH-5DEC25-3600-C,30,227,,0.28048,-4.35748,1.9524,0.00059,,0.2145,0.0175,2,73.41,0.0175,0.0179,0.018,74.22,5
ETH-5DEC25-3600-P,-,3,,-1.35657,-4.35748,1.9524,0.00059,,-0.7855,0.157,145,-,0.1135,0.1652,0.235,165.29,145
ETH-5DEC25-3650-C,30,153,,0.24961,-4.06399,1.81791,0.00055,,0.19037,0.011,822,73.46,0.015,0.0154,0.0155,74.33,4
ETH-5DEC25-3650-P,-,2,,-1.41018,-4.06399,1.81791,0.00055,,-0.80963,0.17,140,-,0.126,0.1787,0.249,168.33,140
ETH-5DEC25-3700-C,231,408,,0.2219,-3.78127,1.68579,0.00051,,0.16884,0.012,117,73.85,0.013,0.0133,0.0135,74.78,16
ETH-5DEC25-3700-P,-,4,,-1.46063,-3.78127,1.68579,0.00051,,-0.83116,0.183,135,-,0.1395,0.1925,0.263,171.18,135
ETH-5DEC25-3750-C,124,267,,0.1976,-3.5213,1.56056,0.00047,,0.15007,0.01,2419,73.72,0.011,0.0116,0.012,75.74,2076
ETH-5DEC25-3750-P,-,3,,-1.50767,-3.5213,1.56056,0.00047,,-0.84993,0.1335,131,-,0.153,0.2067,0.278,175.06,131
ETH-5DEC25-3800-C,148,405,,0.1754,-3.2609,1.4377,0.00043,,0.13297,0.009,2476,74.1,0.0095,0.01,0.0105,76.29,2266
ETH-5DEC25-3800-P,-,-,,-1.5526,-3.2609,1.4377,0.00043,,-0.86703,-,128,-,0.167,0.2211,0.2925,178.17,128
ETH-5DEC25-3900-C,1,616,,0.139,-2.80247,1.21739,0.00036,,0.10509,0.006,2819,74.67,0.007,0.0077,0.008,77.28,1449
ETH-5DEC25-3900-P,-,-,,-1.63447,-2.80247,1.21739,0.00036,,-0.89491,-,-,-,-,0.2506,0.323,185.79,122
ETH-5DEC25-4000-C,262,14415,,0.11004,-2.38959,1.02269,0.00029,,0.08299,0.0055,2228,76.41,0.0055,0.0059,0.006,77.96,25
ETH-5DEC25-4000-P,-,-,,-1.70891,-2.38959,1.02269,0.00029,,-0.91701,-,-,-,-,0.2807,-,-,-
ETH-5DEC25-4200-C,4,643,,0.0711,-1.76599,0.72795,0.0002,,0.05348,0.0036,41,79.91,0.0035,0.0036,0.0038,81.21,25
ETH-5DEC25-4200-P,-,-,,-1.83879,-1.76599,0.72795,0.0002,,-0.94652,-,-,-,-,0.3422,-,-,-
ETH-5DEC25-4400-C,181,693,,0.04709,-1.3129,0.5213,0.00014,,0.03535,0.0026,1715,82.06,0.0021,0.0023,0.0025,84.5,43
ETH-5DEC25-4400-P,-,-,,-1.95375,-1.3129,0.5213,0.00014,,-0.96465,-,-,-,-,0.4046,-,-,-
