Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH-26JUN26-2800-P,201,2462,,-8.69371,-1.42248,8.65731,0.00019,,-0.30173,0.1465,269,71.76,0.1485,0.1496,0.1515,72.87,20
ETH-26JUN26-3000-C,-,191,,7.8605,-1.50084,9.16165,0.00021,,0.65383,0.274,10,71.5,0.2445,0.2458,0.2475,72.55,18
ETH-26JUN26-3000-P,1043,11845,,-10.18932,-1.50082,9.16151,0.00021,,-0.3462,0.179,23,71.68,0.182,0.1828,0.185,72.73,33
ETH-26JUN26-3200-C,-,217,,7.51969,-1.55897,9.52731,0.00021,,0.61012,0.222,23,71.62,0.219,0.2198,0.2215,72.46,43
ETH-26JUN26-3200-P,56,1262,,-11.73203,-1.55901,9.52756,0.00021,,-0.38984,0.246,5,71.63,0.2185,0.2192,0.2215,72.64,33
ETH-26JUN26-3400-C,-,92,,7.15153,-1.59604,9.76428,0.00022,,0.56768,0.1965,5,71.66,0.196,0.1964,0.198,72.31,18
ETH-26JUN26-3400-P,15,4232,,-13.30417,-1.59604,9.76428,0.00022,,-0.43232,0.299,33,71.34,0.257,0.2583,0.261,72.65,88
ETH-26JUN26-3500-C,25,513,,6.96126,-1.60766,9.83855,0.00022,,0.54711,0.173,5,71.69,0.1855,0.1857,0.1875,72.34,143
ETH-26JUN26-3500-P,-,3060,,-14.09607,-1.60766,9.83855,0.00022,,-0.45289,0.213,18,71.32,0.2775,0.2789,0.2815,72.62,18
ETH-26JUN26-3600-C,1,631,,6.76732,-1.61567,9.88491,0.00022,,0.52706,0.1666,5,71.7,0.1755,0.1758,0.1775,72.35,143
ETH-26JUN26-3600-P,-,2484,,-14.89238,-1.61559,9.88445,0.00022,,-0.47298,0.2865,118,71.25,0.2985,0.3001,0.3025,72.54,18
ETH-26JUN26-3800-C,56,345,,6.3762,-1.61833,9.9029,0.00022,,0.48827,0.16,5,71.69,0.157,0.1573,0.159,72.34,118
ETH-26JUN26-3800-P,65,1237,,-16.48605,-1.61833,9.9029,0.00022,,-0.51173,0.383,117,71.24,0.3425,0.3441,0.3465,72.54,18
ETH-26JUN26-4000-C,1279,3270,,5.98987,-1.61144,9.83627,0.00022,,0.4523,0.14,5,71.84,0.141,0.1413,0.143,72.49,118
ETH-26JUN26-4000-P,4,4336,,-18.07493,-1.61154,9.8369,0.00022,,-0.54767,0.433,100,70.93,0.3875,0.3907,0.394,73.04,60
ETH-26JUN26-4200-C,20,205,,5.61425,-1.59333,9.70058,0.00022,,0.41867,0.118,23,71.91,0.1265,0.1272,0.129,72.73,118
ETH-26JUN26-4200-P,-,2150,,-19.65455,-1.59333,9.70058,0.00022,,-0.58133,0.426,244,68.98,0.4295,0.439,0.449,75.42,144
ETH-26JUN26-4400-C,2,330,,5.25419,-1.56723,9.51097,0.00021,,0.38755,0.1079,5,72.11,0.114,0.1148,0.1165,72.95,118
ETH-26JUN26-4400-P,-,2123,,-21.21788,-1.56723,9.51097,0.00021,,-0.61245,0.317,233,69.13,0.4795,0.489,0.499,75.7,133
ETH-26JUN26-4500-C,55,993,,5.0816,-1.55185,9.40087,0.00021,,0.37294,0.1,23,72.28,0.1085,0.1091,0.111,73.13,188
ETH-26JUN26-4500-P,-,411,,-21.9928,-1.55172,9.40008,0.00021,,-0.62709,0.502,228,69.19,0.505,0.5146,0.5245,75.83,128
ETH-26JUN26-4600-C,-,3989,,4.9125,-1.53487,9.28052,0.00021,,0.35886,0.108,23,72.52,0.1035,0.1038,0.1055,73.21,153
ETH-26JUN26-4600-P,-,3360,,-22.76218,-1.53501,9.28133,0.00021,,-0.6411,0.4293,100,64.16,0.5165,0.5405,0.665,113.56,118
ETH-26JUN26-4800-C,5,393,,4.59249,-1.49909,9.02274,0.0002,,0.3327,0.0865,5,72.69,0.0935,0.0943,0.0955,73.4,18
ETH-26JUN26-4800-P,-,340,,-24.28614,-1.49909,9.02274,0.0002,,-0.6673,0.3515,100,63.24,0.567,0.5935,0.7205,115.13,111
ETH-26JUN26-5000-C,5,3737,,4.29137,-1.45875,8.7428,0.00019,,0.30852,0.082,5,73.2,0.0855,0.0857,0.087,73.74,155
ETH-26JUN26-5000-P,-,431,,-25.7899,-1.45889,8.74367,0.00019,,-0.69145,0.69,100,62.19,0.6185,0.6474,0.777,116.82,104
ETH-26JUN26-5200-C,-,491,,4.00972,-1.41559,8.44885,0.00019,,0.28627,0.082,5,73.36,0.0775,0.0781,0.0795,74.11,155
ETH-26JUN26-5200-P,-,360,,-27.27546,-1.41559,8.44885,0.00019,,-0.71373,0.401,100,60.91,0.671,0.7022,0.8345,118.57,99
ETH-26JUN26-5400-C,-,490,,3.74447,-1.36885,8.14286,0.00018,,0.26554,0.089,5,73.77,0.071,0.0711,0.0725,74.36,18
ETH-26JUN26-5400-P,-,15,,-28.74458,-1.3687,8.14196,0.00018,,-0.7345,0.372,94,-,0.6615,0.7577,0.892,120.13,94
ETH-26JUN26-5500-C,-,36849,,3.62054,-1.34648,7.9911,0.00018,,0.25603,0.0665,5,73.98,0.068,0.0681,0.0695,74.58,18
ETH-26JUN26-5500-P,-,20,,-29.46956,-1.34648,7.9911,0.00018,,-0.74397,0.3825,91,-,0.689,0.7859,0.921,120.93,91
ETH-26JUN26-5600-C,-,1200,,3.50223,-1.32423,7.84098,0.00017,,0.24698,0.0695,5,74.1,0.065,0.0652,0.0665,74.72,18
ETH-26JUN26-5600-P,-,-,,-30.19006,-1.32408,7.84007,0.00017,,-0.75305,-,89,-,0.7165,0.8142,0.9505,121.85,89
ETH-26JUN26-5800-C,15,532,,3.27876,-1.28,7.54236,0.00016,,0.23007,0.054,23,74.38,0.0595,0.0599,0.0615,75.23,558
ETH-26JUN26-5800-P,-,44,,-31.61679,-1.27985,7.54144,0.00016,,-0.76996,0.4265,85,-,0.772,0.8714,1.01,123.72,85
ETH-26JUN26-6000-C,4,1721,,3.07197,-1.23605,7.2483,0.00016,,0.21458,0.056,5,74.85,0.055,0.0551,0.0565,75.51,53
ETH-26JUN26-6000-P,-,5,,-33.02683,-1.2359,7.24739,0.00016,,-0.78545,0.434,82,-,0.828,0.9291,1.07,125.62,82
ETH-26JUN26-6200-C,-,836,,2.88383,-1.19453,6.96658,0.00015,,0.20066,0.065,23,75.1,0.0505,0.0509,0.0525,76.01,553
ETH-26JUN26-6200-P,-,18,,-34.41773,-1.19453,6.96658,0.00015,,-0.79934,0.443,78,-,0.8845,0.9874,1.1305,127.57,78
ETH-26JUN26-6400-C,-,391,,2.7088,-1.15314,6.69089,0.00014,,0.18779,0.048,5,75.61,0.047,0.0472,0.0485,76.33,53
ETH-26JUN26-6400-P,-,31,,-35.79651,-1.15299,6.69,0.00014,,-0.81224,0.4695,75,-,0.9415,1.0461,1.1915,129.51,75
ETH-26JUN26-6500-C,150,37589,,2.62704,-1.13336,6.55785,0.00014,,0.18183,0.042,23,75.68,0.045,0.0455,0.047,76.66,610
ETH-26JUN26-6500-P,-,60,,-36.47898,-1.13351,6.55874,0.00014,,-0.81814,0.484,74,-,0.97,1.0756,1.222,130.49,74
ETH-26JUN26-6600-C,-,894,,2.54832,-1.11357,6.427,0.00014,,0.17609,0.045,5,75.95,0.0435,0.0438,0.045,76.69,43
ETH-26JUN26-6600-P,-,-,,-37.16025,-1.11342,6.42612,0.00014,,-0.82394,-,73,-,0.999,1.1052,1.2525,131.38,73
ETH-26JUN26-6800-C,-,895,,2.39961,-1.07496,6.17227,0.00013,,0.16531,0.043,5,76.37,0.0405,0.0407,0.042,77.14,53
ETH-26JUN26-6800-P,-,-,,-38.51178,-1.07496,6.17227,0.00013,,-0.83469,-,70,-,1.0565,1.1646,1.314,133.33,70
ETH-26JUN26-7000-C,120,6383,,2.26372,-1.03859,5.93121,0.00013,,0.15553,0.035,5,76.9,0.038,0.038,0.0395,77.7,556
ETH-26JUN26-7000-P,-,-,,-39.85095,-1.03859,5.93121,0.00013,,-0.84447,-,68,-,1.1145,1.2243,1.376,135.33,68
ETH-26JUN26-7200-C,-,592,,2.13849,-1.00389,5.70159,0.00012,,0.14658,0.036,5,77.3,0.0355,0.0356,0.037,78.13,732
ETH-26JUN26-7200-P,-,76,,-41.17946,-1.00389,5.70159,0.00012,,-0.85342,0.5955,66,-,1.1725,1.2843,1.438,137.21,66
ETH-26JUN26-7400-C,30,1840,,2.02148,-0.96971,5.47996,0.00011,,0.13823,0.0315,23,77.55,0.033,0.0333,0.0345,78.42,536
ETH-26JUN26-7400-P,-,-,,-42.49974,-0.96971,5.47996,0.00011,,-0.86177,-,64,-,1.231,1.3445,1.5005,139.25,64
ETH-26JUN26-7500-C,-,551,,1.96657,-0.95337,5.37371,0.00011,,0.13433,0.033,5,77.78,0.032,0.0322,0.0335,78.66,371
ETH-26JUN26-7500-P,-,-,,-43.15665,-0.95323,5.3729,0.00011,,-0.86569,-,63,-,1.26,1.3747,1.532,140.27,63
ETH-26JUN26-8000-C,1,1348,,1.72186,-0.8772,4.88161,0.0001,,0.11706,0.026,10,78.81,0.0275,0.0277,0.029,79.78,662
ETH-26JUN26-8000-P,-,-,,-46.40952,-0.87707,4.88085,0.0001,,-0.88296,-,59,-,1.407,1.5263,1.689,145.14,59
ETH-26JUN26-8500-C,37,2737,,1.51484,-0.80692,4.43907,0.00009,,0.10255,0.022,10,79.54,0.0235,0.0239,0.025,80.61,744
ETH-26JUN26-8500-P,-,-,,-49.62411,-0.80705,4.43979,0.00009,,-0.89743,-,55,-,1.5545,1.6787,1.847,150.01,55
ETH-26JUN26-9000-C,10,9152,,1.33961,-0.74298,4.04437,0.00008,,0.09035,0.0205,28,80.44,0.0205,0.0208,0.022,81.62,889
ETH-26JUN26-9000-P,-,-,,-52.80782,-0.74298,4.04437,0.00008,,-0.90965,-,52,-,1.7025,1.8318,2.006,154.81,52
ETH-26JUN26-10000-C,72,1619,,1.07361,-0.63991,3.40839,0.00007,,0.07203,0.016,15,82.18,0.016,0.0163,0.017,83.11,469
ETH-26JUN26-10000-P,-,-,,-59.09021,-0.63991,3.40839,0.00007,,-0.92797,-,46,-,1.9995,2.1396,2.326,164.44,46
ETH-26JUN26-11000-C,-,1057,,0.86879,-0.55006,2.88041,0.00006,,0.05799,0.0133,15,83.43,0.0125,0.0129,0.0135,84.54,470
ETH-26JUN26-11000-P,-,-,,-65.31158,-0.54996,2.87989,0.00006,,-0.94202,-,42,-,2.2975,2.4485,2.647,173.45,42
ETH-26JUN26-12000-C,4,3347,,0.70682,-0.4711,2.43524,0.00005,,0.04694,0.009,418,83.96,0.0095,0.0102,0.011,85.93,618
ETH-26JUN26-12000-P,-,45,,-71.48975,-0.4711,2.43524,0.00005,,-0.95306,2.88,38,-,2.5955,2.7582,2.9695,182.4,38
ETH-26JUN26-13000-C,-,2848,,0.59285,-0.41407,2.10781,0.00004,,0.03926,0.008,18,85.53,0.008,0.0085,0.009,87.05,201
ETH-26JUN26-13000-P,-,-,,-77.62011,-0.41407,2.10781,0.00004,,-0.96074,-,35,-,2.8945,3.0688,3.293,190.99,35
ETH-26JUN26-14000-C,26,2927,,0.49981,-0.36369,1.82832,0.00003,,0.033,0.007,418,86.37,0.0065,0.0071,0.0075,88.13,202
ETH-26JUN26-14000-P,-,-,,-83.72953,-0.36369,1.82832,0.00003,,-0.967,2.1543,33,-,3.193,3.3797,3.617,199.34,33
ETH-26JUN26-15000-C,5,2246,,0.42746,-0.32279,1.60316,0.00003,,0.02816,0.005,418,87.47,0.0055,0.006,0.0065,89.46,220
ETH-26JUN26-15000-P,-,-,,-89.81825,-0.32279,1.60316,0.00003,,-0.97184,-,30,-,3.5045,3.6909,3.883,188.06,31
