Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH-19NOV25-3050-P,1509,1595,,-0.01465,-17.41594,0.42537,0.00286,,-0.25389,0.0065,100,83.9,0.0055,0.0056,0.006,87.55,12
ETH-19NOV25-3075-C,692,602,,0.03659,-19.8503,0.48048,0.0033,,0.67054,0.018,40,72.49,0.021,0.0225,0.024,92.01,18
ETH-19NOV25-3075-P,333,244,,-0.01911,-19.87486,0.48108,0.0033,,-0.33056,0.01,534,80.73,0.0075,0.0078,0.0085,87.2,1213
ETH-19NOV25-3100-C,854,1645,,0.0321,-20.91438,0.51738,0.00363,,0.5858,0.016,629,75.63,0.0165,0.0173,0.018,84.69,398
ETH-19NOV25-3100-P,242,521,,-0.02399,-20.91438,0.51738,0.00363,,-0.4142,0.0135,930,77.69,0.01,0.0106,0.011,83.72,108
ETH-19NOV25-3125-C,1154,1026,,0.02724,-21.19957,0.52975,0.00375,,0.49532,0.0105,29,76.48,0.0125,0.013,0.0135,82.37,404
ETH-19NOV25-3125-P,237,307,,-0.02928,-21.20052,0.52977,0.00375,,-0.50429,0.017,396,79.65,0.014,0.0142,0.015,85.54,388
ETH-19NOV25-3150-C,539,453,,0.02223,-20.50145,0.51408,0.00365,,0.40303,0.0075,129,76.18,0.009,0.0095,0.01,82.26,816
ETH-19NOV25-3150-P,63,844,,-0.0348,-20.49427,0.5139,0.00365,,-0.59745,0.052,374,76.36,0.018,0.0187,0.0195,85.46,49
ETH-19NOV25-3175-C,527,771,,0.01737,-18.8629,0.47126,0.00334,,0.31439,0.0055,1294,74.79,0.006,0.0068,0.007,81.46,2
ETH-19NOV25-3175-P,62,91,,-0.04011,-18.84451,0.4708,0.00334,,-0.68628,0.0495,155,66.3,0.022,0.024,0.0585,288.77,118
ETH-19NOV25-3200-C,2183,1646,,0.01329,-14.64743,0.41288,0.00292,,0.24006,0.0041,952,76.09,0.0042,0.0047,0.0049,81.44,25
ETH-19NOV25-3200-P,1,78,,-0.04473,-16.48901,0.41067,0.0029,,-0.76218,0.055,18,43.03,0.026,0.03,0.0695,325.95,18
ETH-19NOV25-3225-C,438,553,,0.00991,-10.1113,0.34701,0.00242,,0.17879,0.0035,1045,76.73,0.0028,0.0032,0.0034,82.24,18
ETH-19NOV25-3225-P,-,31,,-0.04857,-13.97953,0.34393,0.0024,,-0.82363,0.0235,18,-,0.0275,0.0365,0.0945,445.4,154
ETH-19NOV25-3250-C,3882,4042,,0.00726,-7.01446,0.28218,0.00193,,0.13084,0.0016,14,78.55,0.0019,0.0022,0.0024,84.22,37
ETH-19NOV25-3250-P,-,35,,-0.05163,-11.5988,0.27983,0.00192,,-0.87068,0.026,146,-,0.0255,0.0435,0.0865,368.46,146
ETH-19NOV25-3300-C,349,1025,,0.00381,-3.43901,0.17537,0.00114,,0.06853,0.001,2,83.24,0.0009,0.0011,0.0012,88.73,1
ETH-19NOV25-3300-P,3,8,,-0.0559,-7.6304,0.17537,0.00114,,-0.93147,0.087,141,-,0.0255,0.0584,0.1115,501.63,141
ETH-19NOV25-3350-C,51,593,,0.00205,-1.77222,0.10708,0.00066,,0.03688,0.0003,147,86.62,0.0004,0.0006,0.0007,95.65,321
ETH-19NOV25-3350-P,-,-,,-0.05856,-4.92725,0.10708,0.00066,,-0.96312,-,30,-,0.0001,0.0739,-,-,-
ETH-19NOV25-3400-C,708,1010,,0.00118,-1.00577,0.06747,0.00039,,0.02118,0.0003,146,91.55,0.0002,0.0003,0.0004,101.45,272
ETH-19NOV25-3400-P,-,-,,-0.06034,-3.30932,0.06747,0.00039,,-0.97882,-,30,-,0.0001,0.0897,-,-,-
ETH-19NOV25-3500-C,384,754,,0.00053,-0.47303,0.03369,0.00017,,0.00945,0.0001,-,-,-,0.0002,0.0002,117.63,184
ETH-19NOV25-3500-P,-,4,,-0.0628,-1.91304,0.03369,0.00017,,-0.99055,0.1115,4,-,0.002,0.1215,-,-,-
