Instrument,Volume,Open,ExtValue,Rho,Theta,Vega,Gamma,NDelta,Δ|Delta,Last,Size,IV Bid,Bid,Mark,Ask,IV Ask,Size
ETH-30JAN26-4400-C,28,245,,1.05666,-2.00986,3.94245,0.00027,,0.20012,0.029,5,73.77,0.0315,0.0317,0.0325,74.57,1608
ETH-30JAN26-4400-P,-,20,,-7.69751,-2.00633,3.93551,0.00027,,-0.8003,0.2155,113,-,0.3565,0.4264,0.5215,135.23,113
ETH-30JAN26-4500-C,80,315,,0.96817,-1.91043,3.72849,0.00025,,0.18286,0.025,1138,73.92,0.028,0.0286,0.029,74.76,401
ETH-30JAN26-4500-P,-,2,,-7.98219,-1.91052,3.72867,0.00025,,-0.81713,0.236,110,-,0.384,0.455,0.551,137.49,110
ETH-30JAN26-4600-C,-,1290,,0.88986,-1.81738,3.52788,0.00024,,0.16759,0.0275,1613,74.1,0.025,0.0258,0.0265,75.44,2036
ETH-30JAN26-4600-P,-,-,,-8.25947,-1.81738,3.52788,0.00024,,-0.83241,-,106,-,0.412,0.4839,0.5805,139.61,106
ETH-30JAN26-4800-C,20,1111,,0.75348,-1.64023,3.14999,0.00021,,0.14115,0.0185,1520,74.99,0.0205,0.0211,0.0215,76,450
ETH-30JAN26-4800-P,-,-,,-8.79493,-1.63812,3.14594,0.00021,,-0.85906,-,100,-,0.4695,0.5426,0.6415,144.64,100
ETH-30JAN26-5000-C,18,1505,,0.63925,-1.47751,2.803,0.00019,,0.1193,0.018,1171,76.05,0.017,0.0174,0.018,77.17,980
ETH-30JAN26-5000-P,-,-,,-9.30567,-1.47751,2.803,0.00019,,-0.8807,-,94,-,0.528,0.6023,0.703,149.52,94
ETH-30JAN26-5500-C,18,1047,,0.43569,-1.1469,2.10634,0.00013,,0.08074,0.011,312,78.6,0.011,0.0113,0.012,80.08,2015
ETH-30JAN26-5500-P,-,-,,-10.50372,-1.1469,2.10634,0.00013,,-0.91926,-,84,-,0.6725,0.7547,0.86,162.08,84
ETH-30JAN26-6000-C,10,2131,,0.30858,-0.90572,1.6087,0.0001,,0.05695,0.007,2551,80.19,0.007,0.0078,0.008,82.19,5
ETH-30JAN26-6000-P,-,-,,-11.62533,-0.90572,1.6087,0.0001,,-0.94305,-,-,-,-,0.9096,1.0205,175.03,76
ETH-30JAN26-6500-C,-,475,,0.22342,-0.71848,1.23944,0.00007,,0.0411,0.006,2072,82.88,0.005,0.0055,0.006,85.42,1251
ETH-30JAN26-6500-P,-,-,,-12.70497,-0.71848,1.23944,0.00007,,-0.9589,-,-,-,-,1.0658,1.182,187.29,70
ETH-30JAN26-7000-C,11,147,,0.17127,-0.5971,0.99624,0.00006,,0.03148,0.0039,1271,85.77,0.0038,0.0042,0.0045,88,18
ETH-30JAN26-7000-P,-,-,,-13.75161,-0.59714,0.99632,0.00006,,-0.96852,-,-,-,-,1.223,1.3455,199.74,65
ETH-30JAN26-7500-C,-,619,,0.13288,-0.49657,0.80572,0.00005,,0.0244,0.0034,400,88.18,0.0029,0.0032,0.0035,90.54,18
ETH-30JAN26-7500-P,-,-,,-14.7845,-0.49657,0.80572,0.00005,,-0.9756,-,-,-,-,1.3805,1.504,208.21,60
ETH-30JAN26-8000-C,-,1542,,0.10513,-0.41762,0.66065,0.00004,,0.01929,0.0027,400,90.1,0.0022,0.0025,0.0029,93.44,778
ETH-30JAN26-8000-P,-,-,,-15.80674,-0.41765,0.6607,0.00004,,-0.98071,-,-,-,-,1.5383,1.6685,219.71,57
